0.703272511855758	,1.91187495520828	,-1.96062735121224	,1.5707963267949	,-0.0136043315709147	,-0.802159421698021	,2.09232533478197
0.703272512247239	,1.91187495431033	,-1.96062735008848	,1.5707963267949	,-0.0136043315817105	,-0.802159421684515	,2.09232533340101
0.703272514987604	,1.91187494802468	,-1.96062734222212	,1.5707963267949	,-0.0136043316572803	,-0.802159421589972	,2.09232532373422
0.703272522425737	,1.91187493096364	,-1.96062732087058	,1.5707963267949	,-0.013604331862398	,-0.802159421333355	,2.09232529749582
0.703272536910521	,1.91187489773951	,-1.96062727929127	,1.5707963267949	,-0.0136043322618367	,-0.802159420833628	,2.09232524639998
0.703272560790836	,1.91187484296458	,-1.96062721074159	,1.5707963267949	,-0.0136043329203712	,-0.802159420009753	,2.09232516216089
0.703272596415561	,1.91187476125117	,-1.96062710847896	,1.5707963267949	,-0.0136043339027747	,-0.802159418780693	,2.09232503649275
0.703272646133567	,1.91187464721156	,-1.9606269657608	,1.5707963267949	,-0.013604335273822	,-0.802159417065412	,2.09232486110973
0.703272712293719	,1.91187449545805	,-1.96062677584453	,1.5707963267949	,-0.0136043370982843	,-0.802159414782873	,2.09232462772602
0.703272797244869	,1.91187430060294	,-1.96062653198757	,1.5707963267949	,-0.0136043394409366	,-0.802159411852037	,2.09232432805583
0.703272903335858	,1.91187405725852	,-1.96062622744736	,1.5707963267949	,-0.0136043423665519	,-0.802159408191869	,2.09232395381332
0.703273032915508	,1.91187376003706	,-1.96062585548134	,1.5707963267949	,-0.0136043459399025	,-0.80215940372133	,2.09232349671269
0.703273188332619	,1.91187340355083	,-1.96062540934698	,1.5707963267949	,-0.0136043502257603	,-0.802159398359383	,2.09232294846813
0.703273371935966	,1.91187298241211	,-1.96062488230175	,1.5707963267949	,-0.013604355288896	,-0.80215939202499	,2.09232230079382
0.703273586074293	,1.91187249123314	,-1.96062426760315	,1.5707963267949	,-0.0136043611940817	,-0.802159384637113	,2.09232154540394
0.703273833096305	,1.91187192462618	,-1.96062355850869	,1.5707963267949	,-0.0136043680060878	,-0.802159376114714	,2.09232067401269
0.703274115350668	,1.91187127720343	,-1.96062274827592	,1.5707963267949	,-0.013604375789682	,-0.802159366376753	,2.09231967833425
0.703274435185998	,1.91187054357712	,-1.9606218301624	,1.5707963267949	,-0.0136043846096339	,-0.802159355342191	,2.0923185500828
0.703274794950857	,1.91186971835943	,-1.96062079742575	,1.5707963267949	,-0.0136043945307085	,-0.802159342929989	,2.09231728097253
0.703275196993743	,1.91186879616254	,-1.9606196433236	,1.5707963267949	,-0.0136044056176736	,-0.802159329059106	,2.09231586271761
0.703275643663084	,1.91186777159859	,-1.96061836111365	,1.5707963267949	,-0.0136044179352917	,-0.802159313648502	,2.09231428703223
0.703276137307233	,1.91186663927969	,-1.96061694405363	,1.5707963267949	,-0.0136044315483259	,-0.802159296617134	,2.09231254563058
0.703276680274454	,1.91186539381793	,-1.96061538540132	,1.5707963267949	,-0.013604446521537	,-0.80215927788396	,2.09231063022682
0.703277274912918	,1.91186402982538	,-1.96061367841458	,1.5707963267949	,-0.0136044629196821	,-0.802159257367937	,2.09230853253514
0.703277923570691	,1.91186254191404	,-1.96061181635131	,1.5707963267949	,-0.0136044808075191	,-0.80215923498802	,2.09230624426971
