0.000000	,0.773256	,-0.000000	,0.442977
0.001000	,0.773256	,-0.000000	,0.442977
0.002000	,0.773256	,-0.000000	,0.442977
0.003000	,0.773256	,-0.000000	,0.442977
0.004000	,0.773256	,-0.000000	,0.442977
0.005000	,0.773256	,-0.000000	,0.442977
0.006000	,0.773256	,-0.000000	,0.442977
0.007000	,0.773256	,-0.000000	,0.442977
0.008000	,0.773256	,-0.000000	,0.442977
0.009000	,0.773256	,-0.000000	,0.442976
0.010000	,0.773256	,-0.000000	,0.442976
0.011000	,0.773256	,-0.000000	,0.442976
0.012000	,0.773256	,-0.000000	,0.442976
0.013000	,0.773256	,-0.000000	,0.442975
0.014000	,0.773256	,-0.000000	,0.442975
0.015000	,0.773256	,-0.000000	,0.442975
0.016000	,0.773256	,-0.000000	,0.442974
0.017000	,0.773256	,-0.000000	,0.442974
0.018000	,0.773256	,-0.000000	,0.442973
0.019000	,0.773256	,-0.000000	,0.442972
0.020000	,0.773256	,-0.000000	,0.442972
0.021000	,0.773256	,-0.000000	,0.442971
0.022000	,0.773256	,-0.000000	,0.442970
0.023000	,0.773256	,-0.000000	,0.442969
0.024000	,0.773256	,-0.000000	,0.442968
0.025000	,0.773256	,-0.000000	,0.442966
0.026000	,0.773256	,-0.000000	,0.442965
0.027000	,0.773256	,-0.000000	,0.442964
0.028000	,0.773256	,-0.000000	,0.442962
0.029000	,0.773256	,-0.000000	,0.442961
0.030000	,0.773256	,-0.000000	,0.442959
0.031000	,0.773256	,-0.000000	,0.442957
0.032000	,0.773256	,-0.000000	,0.442955
0.033000	,0.773256	,-0.000000	,0.442953
0.034000	,0.773256	,-0.000000	,0.442951
0.035000	,0.773256	,-0.000000	,0.442948
0.036000	,0.773256	,-0.000000	,0.442946
0.037000	,0.773256	,-0.000000	,0.442943
0.038000	,0.773256	,-0.000000	,0.442940
0.039000	,0.773256	,-0.000000	,0.442937
0.040000	,0.773256	,-0.000000	,0.442934
0.041000	,0.773256	,-0.000000	,0.442931
0.042000	,0.773256	,-0.000000	,0.442928
0.043000	,0.773256	,-0.000000	,0.442924
0.044000	,0.773256	,-0.000000	,0.442920
0.045000	,0.773256	,-0.000000	,0.442916
0.046000	,0.773256	,-0.000000	,0.442912
0.047000	,0.773256	,-0.000000	,0.442908
0.048000	,0.773256	,-0.000000	,0.442903
0.049000	,0.773256	,-0.000000	,0.442898
0.050000	,0.773256	,-0.000000	,0.442894
0.051000	,0.773256	,-0.000000	,0.442888
0.052000	,0.773256	,-0.000000	,0.442883
0.053000	,0.773256	,-0.000000	,0.442878
0.054000	,0.773256	,-0.000000	,0.442872
0.055000	,0.773256	,-0.000000	,0.442866
0.056000	,0.773256	,-0.000000	,0.442860
0.057000	,0.773256	,-0.000000	,0.442854
0.058000	,0.773256	,-0.000000	,0.442848
0.059000	,0.773256	,-0.000000	,0.442841
0.060000	,0.773256	,-0.000000	,0.442834
0.061000	,0.773256	,-0.000000	,0.442827
0.062000	,0.773256	,-0.000000	,0.442820
0.063000	,0.773256	,-0.000000	,0.442813
0.064000	,0.773256	,-0.000000	,0.442806
