1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.21887,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000,0.00000,0.00322,0.00322,3.21887,3.21887,0.00322,0.00000
1.00000,0.00000,0.00000,0.00001,0.00001,0.00644,0.00644,3.21887,3.21887,0.00644,0.00322
1.00000,0.00000,0.00000,0.00001,0.00001,0.00966,0.00966,3.21887,3.21887,0.00966,0.00644
1.00000,0.00000,0.00000,0.00003,0.00003,0.01288,0.01288,3.21887,3.21887,0.01288,0.00966
1.00000,0.00000,0.00000,0.00004,0.00004,0.01609,0.01609,3.21887,3.21887,0.01609,0.01288
1.00000,0.00000,0.00000,0.00006,0.00006,0.01931,0.01931,3.21887,3.21887,0.01931,0.01609
1.00000,0.00000,0.00000,0.00008,0.00008,0.02253,0.02253,3.21887,3.21887,0.02253,0.01931
1.00000,0.00000,0.00000,0.00010,0.00010,0.02575,0.02575,3.21887,3.21887,0.02575,0.02253
1.00000,0.00000,0.00000,0.00013,0.00013,0.02897,0.02897,3.21887,3.21887,0.02897,0.02575
1.00000,0.00000,0.00000,0.00016,0.00016,0.03219,0.03219,3.21887,3.21887,0.03219,0.02897
1.00000,0.00000,0.00000,0.00019,0.00019,0.03541,0.03541,3.21887,3.21887,0.03541,0.03219
1.00000,0.00000,0.00000,0.00023,0.00023,0.03863,0.03863,3.21887,3.21887,0.03863,0.03541
1.00000,0.00000,0.00000,0.00027,0.00027,0.04185,0.04185,3.21887,3.21887,0.04185,0.03863
1.00000,0.00000,0.00000,0.00032,0.00032,0.04506,0.04506,3.21887,3.21887,0.04506,0.04185
1.00000,0.00000,0.00000,0.00036,0.00036,0.04828,0.04828,3.21887,3.21887,0.04828,0.04506
1.00000,0.00000,0.00000,0.00041,0.00041,0.05150,0.05150,3.21887,3.21887,0.05150,0.04828
1.00000,0.00000,0.00000,0.00047,0.00047,0.05472,0.05472,3.21887,3.21887,0.05472,0.05150
