0.000000,	-5.000000,	-0.000648
0.001000,	-5.000000,	-0.004401
0.002000,	-5.000000,	-0.015132
0.003000,	-27.000000,	-0.039336
0.004000,	-16.000000,	-0.089125
0.005000,	-10.000000,	-0.177277
0.006000,	-32.000000,	-0.312416
0.007000,	-5.000000,	-0.501786
0.008000,	-10.000000,	-0.747947
0.009000,	-27.000000,	-1.048125
0.010000,	-10.000000,	-1.401572
0.011000,	-5.000000,	-1.806285
0.012000,	-27.000000,	-2.255735
0.013000,	-10.000000,	-2.745502
0.014000,	-10.000000,	-3.272014
0.015000,	-32.000000,	-3.830210
0.016000,	-5.000000,	-4.417651
0.017000,	-10.000000,	-5.029889
0.018000,	-32.000000,	-5.659353
0.019000,	-5.000000,	-6.302417
0.020000,	-5.000000,	-6.953917
0.021000,	-27.000000,	-7.604030
0.022000,	0.000000,	-8.245699
0.023000,	-5.000000,	-8.871399
0.024000,	-27.000000,	-9.471839
0.025000,	-5.000000,	-10.043494
0.026000,	-5.000000,	-10.584115
0.027000,	-27.000000,	-11.089064
0.028000,	-5.000000,	-11.557597
0.029000,	-5.000000,	-11.989325
0.030000,	-21.000000,	-12.380563
0.031000,	-5.000000,	-12.729997
0.032000,	-5.000000,	-13.037001
0.033000,	-27.000000,	-13.300273
0.034000,	-10.000000,	-13.523602
0.035000,	0.000000,	-13.711249
0.036000,	-27.000000,	-13.863013
0.037000,	-5.000000,	-13.980821
0.038000,	-5.000000,	-14.067416
0.039000,	-32.000000,	-14.123979
0.040000,	-5.000000,	-14.156136
0.041000,	-5.000000,	-14.168885
0.042000,	-32.000000,	-14.163140
0.043000,	-5.000000,	-14.143507
0.044000,	-10.000000,	-14.114655
0.045000,	-27.000000,	-14.077726
0.046000,	-5.000000,	-14.036045
0.047000,	-5.000000,	-13.991147
0.048000,	-21.000000,	-13.940106
0.049000,	-10.000000,	-13.882667
0.050000,	-10.000000,	-13.820749
0.051000,	-27.000000,	-13.756059
0.052000,	-10.000000,	-13.693084
0.053000,	0.000000,	-13.634198
0.054000,	-27.000000,	-13.576511
0.055000,	5.000000,	-13.517979
0.056000,	-5.000000,	-13.455074
0.057000,	-27.000000,	-13.382881
0.058000,	0.000000,	-13.302465
0.059000,	-5.000000,	-13.214932
0.060000,	-27.000000,	-13.118553
0.061000,	-5.000000,	-13.016346
0.062000,	-5.000000,	-12.911625
0.063000,	-27.000000,	-12.804382
0.064000,	-5.000000,	-12.697622
0.065000,	-5.000000,	-12.593883
0.066000,	-21.000000,	-12.491645
0.067000,	-5.000000,	-12.391046
0.068000,	-5.000000,	-12.292274
0.069000,	-27.000000,	-12.194248
0.070000,	-5.000000,	-12.099813
0.071000,	-5.000000,	-12.011301
0.072000,	-27.000000,	-11.927731
0.073000,	-10.000000,	-11.851799
0.074000,	-5.000000,	-11.786917
0.075000,	-27.000000,	-11.732858
0.076000,	-5.000000,	-11.690838
0.077000,	-5.000000,	-11.661007
0.078000,	-32.000000,	-11.641082
0.079000,	-5.000000,	-11.633185
0.080000,	-10.000000,	-11.639464
0.081000,	-21.000000,	-11.657751
0.082000,	-5.000000,	-11.686688
0.083000,	0.000000,	-11.722989
0.084000,	-32.000000,	-11.761223
0.085000,	-5.000000,	-11.801830
0.086000,	-10.000000,	-11.847025
0.087000,	-32.000000,	-11.896915
0.088000,	-10.000000,	-11.955590
0.089000,	-5.000000,	-12.026138
0.090000,	-27.000000,	-12.105966
0.091000,	-5.000000,	-12.193615
0.092000,	-10.000000,	-12.287661
0.093000,	-21.000000,	-12.384396
0.094000,	-5.000000,	-12.481957
0.095000,	-10.000000,	-12.578067
0.096000,	-32.000000,	-12.670807
0.097000,	-10.000000,	-12.764167
0.098000,	-5.000000,	-12.861269
0.099000,	-27.000000,	-12.959680
0.100000,	-5.000000,	-13.058206
0.101000,	0.000000,	-13.154476
0.102000,	-27.000000,	-13.242365
0.103000,	-5.000000,	-13.319828
0.104000,	-10.000000,	-13.387270
0.105000,	-32.000000,	-13.444885
0.106000,	-5.000000,	-13.497107
0.107000,	0.000000,	-13.545637
0.108000,	-21.000000,	-13.585006
0.109000,	-5.000000,	-13.611562
0.110000,	-5.000000,	-13.623859
0.111000,	-27.000000,	-13.620338
0.112000,	-10.000000,	-13.604322
0.113000,	-10.000000,	-13.580707
0.114000,	-27.000000,	-13.552077
0.115000,	-5.000000,	-13.522213
0.116000,	-5.000000,	-13.492287
0.117000,	-32.000000,	-13.460435
0.118000,	0.000000,	-13.428711
0.119000,	-5.000000,	-13.397518
0.120000,	-32.000000,	-13.363704
0.121000,	-10.000000,	-13.330241
0.122000,	-5.000000,	-13.301514
0.123000,	-32.000000,	-13.277516
0.124000,	-5.000000,	-13.260381
0.125000,	-5.000000,	-13.251073
0.126000,	-27.000000,	-13.246089
0.127000,	-5.000000,	-13.244711
0.128000,	-10.000000,	-13.246937
0.129000,	-32.000000,	-13.251788
0.130000,	-5.000000,	-13.262560
0.131000,	-5.000000,	-13.280506
0.132000,	-27.000000,	-13.301688
0.133000,	-5.000000,	-13.325034
0.134000,	-5.000000,	-13.349607
0.135000,	-27.000000,	-13.371745
0.136000,	-5.000000,	-13.391358
0.137000,	-5.000000,	-13.408396
0.138000,	-21.000000,	-13.419226
0.139000,	-5.000000,	-13.422303
0.140000,	-5.000000,	-13.416522
0.141000,	-21.000000,	-13.399088
0.142000,	-5.000000,	-13.370053
